priority_rank,family_priority_rank,event_family_final,report_number,candidate_seq,match_status,observed_probability_under_null,observed_probability_log10,surprisal_log10,claimed_contact_date,earliest_provable_public_date,publication_lag_days_vs_event,publication_lag_days_vs_primary_source,publication_conflict_gap_bucket,public_date_basis,public_date_cohort_status,public_date_cohort_reason,provenance_score,current_public_evidence_kind,current_public_source_tier,current_public_source_bucket,current_public_source_label,current_public_source_url,best_available_source_tier,best_available_source_bucket,best_available_source_label,best_available_source_url,earliest_primary_source_date,earliest_mirror_source_date,earliest_secondary_source_date,public_date_reason,event_start_date,event_title,event_source_url,claim_normalized,source_quote
1,1,politics_election,829,17,exact_hit,0.000278202808,-3.555638,3.555638,2022-12-25,2023-01-01,-1,-2,tiny_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 829 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_829,official_figu_original,primary_official,FIGU official German PDF metadata for Contact Report 829,https://www.figu.org/files/figu_kontaktberichte/figu_kontaktbericht_829.pdf,2023-01-02,2023-01-01,,The currently recorded provable public date is later than the observed event date.,2022-12-31,Death of Pope Emeritus Benedict XVI,https://press.vatican.va/content/salastampa/en/bollettino/pubblico/2022/12/31/221231a.html,"What you say is correct, but in the context of the papacy, it is worth mentioning that the previous pope, Ratzinger, who preceded the current pope and called himself Benedict XVI, will leave the world shortly, on the 31st of December 2022.","What you say is correct, but in the context of the papacy, it is worth mentioning that the previous pope, Ratzinger, who preceded the current pope and called himself Benedict XVI, will leave the world shortly, on the 31st of December 2022"
2,2,politics_election,459,5,exact_hit,0.000314911035,-3.501812,3.501812,2008-02-03,2020-06-22,-4509,-5360,deep_archive_gap,manual_source_link,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,manual_source_link,mirror_translation_page,mirror,Future Of Mankind Contact Report 459 English translation page,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_459,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2020-06-22,,The currently recorded provable public date is later than the observed event date.,2008-02-17,Kosovo Declaration of Independence,https://kryeministri.rks-gov.net/en/news/the-speech-of-kosovo-pm-hashim-thaci-given-in-the-un-security-council-on-21-april-2008/,"Then on 17 February Kosovo is declared independent, which causes unrest in Serbia and Russia as well as in other states.","Then on 17 February Kosovo is declared independent, which causes unrest in Serbia and Russia as well as in other states"
3,1,storm,448,8,exact_hit,0.000477372532,-3.321143,3.321143,2007-04-27,2011-02-01,-1369,-5649,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 448 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_448,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2011-02-01,,The currently recorded provable public date is later than the observed event date.,2007-05-04,Greensburg tornado devastated the town,https://www.weather.gov/ddc/events,"There is nothing extraordinary to mention for the coming days, because something special will only happen at the beginning of May, when in the USA, namely in the state of Kansas, the small town of Greenburgh will be completely destroyed by a tornado, which will also claim a small number of lives.","There is nothing extraordinary to mention for the coming days, because something special will only happen at the beginning of May, when in the USA, namely in the state of Kansas, the small town of Greenburgh will be completely destroyed by a tornado, which will also claim a small number of lives"
4,3,politics_election,459,4,exact_hit,0.001068946985,-2.971044,2.971044,2008-02-03,2020-06-22,-4513,-5364,deep_archive_gap,manual_source_link,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,manual_source_link,mirror_translation_page,mirror,Future Of Mankind Contact Report 459 English translation page,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_459,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2020-06-22,,The currently recorded provable public date is later than the observed event date.,2008-02-13,Apology to Australia's Indigenous Peoples,https://www.aph.gov.au/Visit_Parliament/Art/Icons/Apology_to_Australias_Indigenous_Peoples,"What will be extraordinary, however, will be revealed on the 13th of February, when the Australian Prime Minister, Kevin Rudd, will officially apologise to the Aboriginal people for the humiliating and degrading things that have been done to them over two centuries by the English immigrants and Europeans who have settled in Australia.","What will be extraordinary, however, will be revealed on the 13th of February, when the Australian Prime Minister, Kevin Rudd, will officially apologise to the Aboriginal people for the humiliating and degrading things that have been done to them over two centuries by the English immigrants and Europeans who have settled in Australia"
5,4,politics_election,136,157,exact_hit,0.007490601548,-2.125483,2.125483,1980-10-14,2007-08-10,-9585,-15136,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 136 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_136,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 04,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-4/,2022-10-21,2007-08-10,,The currently recorded provable public date is later than the observed event date.,1981-05-13,John Paul II survived the 13 May 1981 assassination attempt,https://www.vatican.va/content/john-paul-ii/en/biography/documents/hf_jp-ii_bio_20010108_biography.html,"Pope John Paul II will be severely injured by an assassination attempt, which will likewise lead to the uncertainty that has already been addressed as to whether he will carry out his trip to Switzerland or not.","Pope John Paul II will be severely injured by an assassination attempt, which will likewise lead to the uncertainty that has already been addressed as to whether he will carry out his trip to Switzerland or not"
6,5,politics_election,136,16,exact_hit,0.0088888301,-2.051155,2.051155,1980-10-14,2007-08-10,-9775,-15326,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 136 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_136,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 04,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-4/,2022-10-21,2007-08-10,,The currently recorded provable public date is later than the observed event date.,1980-11-04,Election of Ronald Reagan as President of the United States,https://www.reaganlibrary.gov/reagans/reagan-administration/reagan-presidency,"For this reason, the next great man of the United States of America will be President Ronald Reagan.","For this reason, the next great man of the United States of America will be President Ronald Reagan"
7,6,politics_election,136,113,exact_hit,0.014184157648,-1.848196,1.848196,1980-10-14,2007-08-10,-9629,-15180,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 136 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_136,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 04,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-4/,2022-10-21,2007-08-10,,The currently recorded provable public date is later than the observed event date.,1981-03-30,Ronald Reagan survived the 30 March 1981 assassination attempt,https://www.reaganlibrary.gov/constitutional-amendments-article-ii-section-1-article,"It will be on the 30th of March at the time of 21:45 hrs, in front of the Hilton Hotel in the city of his speech, where the president will be shot down by a student named John Hinckley.","It will be on the 30th of March at the time of 21:45 hrs, in front of the Hilton Hotel in the city of his speech, where the president will be shot down by a student named John Hinckley"
8,7,politics_election,113,11,exact_hit,0.028983448208,-1.53785,1.53785,1978-08-06,2010-11-14,-11735,-16094,deep_archive_gap,manual_source_link,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,manual_source_link,mirror_translation_page,mirror,Future Of Mankind Contact Report 113 English translation page,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_113,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 03,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-3/,2022-10-21,2010-11-14,,The currently recorded provable public date is later than the observed event date.,1978-09-28,Death of Pope John Paul I,https://www.vatican.va/content/john-paul-i/en.html,"This 33-minute consultation time will also be exactly the number of days, during which he will exercise his office as Pope, then to finish his life on the 28th of September, 1978, at exactly 23:07 hrs, without anyone being with him.","This 33-minute consultation time will also be exactly the number of days, during which he will exercise his office as Pope, then to finish his life on the 28th of September, 1978, at exactly 23:07 hrs, without anyone being with him"
9,8,politics_election,555,1,exact_hit,0.031743322856,-1.498348,1.498348,2013-03-02,2017-11-09,-1702,-3509,deep_archive_gap,wiki_first_revision,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,wiki_first_revision,mirror_revision_timestamp,mirror,Future Of Mankind Contact Report 555 first page revision,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_555,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 13,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-13/,2022-10-21,2017-11-09,,The currently recorded provable public date is later than the observed event date.,2013-03-13,Election of Pope Francis,https://press.vatican.va/content/salastampa/it/bollettino/pubblico/2013/03/13/0147/00367.html,"The Conclave will begin on the 12th of March, and already on the 13th of March a man from Argentina called Jorge Mario Bergoglio, who will call himself Francis, will be elected as the new Pope.","The Conclave will begin on the 12th of March, and already on the 13th of March a man from Argentina called Jorge Mario Bergoglio, who will call himself Francis, will be elected as the new Pope"
10,9,politics_election,459,6,exact_hit,0.03284055961,-1.483589,1.483589,2008-02-03,2020-06-22,-4507,-5358,deep_archive_gap,manual_source_link,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2,manual_source_link,mirror_translation_page,mirror,Future Of Mankind Contact Report 459 English translation page,https://www.futureofmankind.co.uk/Billy_Meier/Contact_Report_459,official_figu_original,primary_official,FIGU shop product page for Plejadisch-plejarische Kontaktberichte Block 11,https://shop.figu.org/produkt/plejadisch-plejarische-kontaktberichte-block-11/,2022-10-21,2020-06-22,,The currently recorded provable public date is later than the observed event date.,2008-02-19,Mensaje del Comandante en Jefe,https://www.granma.cu/granmad/2008/02/19/nacional/artic03.html,"Then two events occur that affect Cuba and the USA, as Fidel Castro officially resigns from his office of state, which he has held in a murderous manner since 1959 until the 21st of February.","Then two events occur that affect Cuba and the USA, as Fidel Castro officially resigns from his office of state, which he has held in a murderous manner since 1959 until the 21st of February"
