event_family_final,report_number,candidate_seq,match_status,final_status,public_date_status,claimed_contact_date,earliest_provable_public_date,public_date_basis,current_public_source_tier,current_public_source_bucket,best_available_source_tier,best_available_source_bucket,earliest_primary_source_date,earliest_mirror_source_date,observed_probability_under_null,claim_normalized
aviation_space,459,7,exact_hit,included_in_statistics,event_precedes_publication,2008-02-03,2020-06-22,manual_source_link,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-06-22,0.002301494955,"At about the same time, for the first time on the Earth, a defective US spy satellite, which is threatening to fall to Earth and has a very toxic fuel content, is shot down and exploded by a US Navy rocket at a very high altitude."
earthquake,136,54,near_hit,included_in_statistics,event_precedes_publication,1980-10-14,2007-08-10,wiki_first_revision:Future Of Mankind Contact Report 136 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.009973981356,"namely on the 24th of January 1981, China will also be afflicted by another major earthquake in the territory of the province of Sichuan."
earthquake,136,88,exact_hit,included_in_statistics,event_precedes_publication,1980-10-14,2007-08-10,wiki_first_revision:Future Of Mankind Contact Report 136 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.000258271132,The first major quake of magnitude 6.6 on the Richter scale on the 24th of February had been measured 70 kilometres west of Athens.
earthquake,136,89,exact_hit,included_in_statistics,event_precedes_publication,1980-10-14,2007-08-10,wiki_first_revision:Future Of Mankind Contact Report 136 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.001909627558,"On the 24th of February, a severe quake had caused devastating damage in Greece and claimed several lives."
earthquake,136,176,exact_hit,included_in_statistics,event_precedes_publication,1980-10-14,2007-08-10,wiki_first_revision:Future Of Mankind Contact Report 136 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.009511740586,"Only a month later, on the 28th of July, Iran will once again be shaken by a major quake, again in the region of Kerman, but this time, it will demand 7,200 deaths, while several cities."
earthquake,150,76,miss,included_in_statistics,public_date_ok,1981-10-10,2009-10-13,wiki_first_revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2009-10-13,0.975507694719,"Approximately on the 15th of August 1982, southern Italy will again be struck by an earthquake, for this part of Italy will not rest for some time."
earthquake,238,17,exact_hit,included_in_statistics,event_precedes_publication,1991-05-18,2007-08-08,wiki_first_revision:Future Of Mankind Contact Report 238 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-08,0.493729410255,A major earthquake will soon occur again in Georgia.
earthquake,238,196,near_hit,included_in_statistics,event_precedes_publication,1991-05-18,2007-08-08,wiki_first_revision:Future Of Mankind Contact Report 238 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-08,0.051930920077,"I just want to tell you that a stronger quake on the 2nd of February 1992, will not be very significant."
earthquake,242,1,miss,included_in_statistics,public_date_ok,1992-04-24,2018-08-12,manual_source_link,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2018-08-12,0.969328687895,"With smaller quakes, however, things will be different, because already on the 8th of May another one of these will occur, which will have to be calculated at a magnitude of about 5.5, if, according to the Richter scale …."
earthquake,246,23,exact_hit,included_in_statistics,event_precedes_publication,1993-06-19,2008-01-01,wiki_first_revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2008-01-01,0.000671366205,"Storm surges will also be devastating, usually triggered by earthquakes or seaquakes, as will be the case in Japan when an earthquake measuring approximately 7.6 to 7.9 on the Richter scale will shake the land and sea near Hokkaido on the 12th of July, killing some 300 human lives."
earthquake,367,5,exact_hit,included_in_statistics,event_precedes_publication,2004-09-09,2020-02-11,manual_source_link,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-11,1.0,"As soon as the quake is over, the next one will follow in the Nagaoka area with a magnitude of 6.0, followed by another one in November, which will be followed by others."
