event_family_final,report_number,candidate_seq,match_status,final_status,public_date_status,public_date_cohort_status,public_date_cohort_reason,claimed_contact_date,earliest_provable_public_date,public_date_basis,current_public_source_tier,current_public_source_bucket,best_available_source_tier,best_available_source_bucket,earliest_primary_source_date,earliest_mirror_source_date,observed_probability_under_null,claim_normalized
aviation_space,459,7,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2008-02-03,2020-06-22,manual_source_link,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-06-22,0.002301494955,"At about the same time, for the first time on the Earth, a defective US spy satellite, which is threatening to fall to Earth and has a very toxic fuel content, is shot down and exploded by a US Navy rocket at a very high altitude."
earthquake,136,55,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1980-10-14,2007-08-10,wiki_first_revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.009973981356,"namely on the 24th of January 1981, China will also be afflicted by another major earthquake in the territory of the province of Sichuan."
earthquake,136,89,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1980-10-14,2007-08-10,wiki_first_revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.000258271132,The first major quake of magnitude 6.6 on the Richter scale on the 24th of February had been measured 70 kilometres west of Athens.
earthquake,136,90,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1980-10-14,2007-08-10,wiki_first_revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.001909627558,"On the 24th of February, a severe quake had caused devastating damage in Greece and claimed several lives."
earthquake,136,178,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1980-10-14,2007-08-10,wiki_first_revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-10,0.009511740586,"Only a month later, on the 28th of July, Iran will once again be shaken by a major quake, again in the region of Kerman, but this time, it will demand 7,200 deaths, while several cities."
earthquake,150,76,miss,included_in_statistics,public_date_ok,included_in_current_public_date_cohort,"The current provable public date does not postdate the matched observed event, so the row remains in the current public-date-clean cohort.",1981-10-10,2009-10-13,wiki_first_revision:Future Of Mankind Contact Report 150 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2009-10-13,0.975507694719,"Approximately on the 15th of August 1982, southern Italy will again be struck by an earthquake, for this part of Italy will not rest for some time."
earthquake,238,17,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1991-05-18,2007-08-08,wiki_first_revision:Future Of Mankind Contact Report 238 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-08,0.493729410255,A major earthquake will soon occur again in Georgia.
earthquake,238,197,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1991-05-18,2007-08-08,wiki_first_revision:Future Of Mankind Contact Report 238 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2007-08-08,0.051930920077,"I just want to tell you that a stronger quake on the 2nd of February 1992, will not be very significant."
earthquake,242,1,miss,included_in_statistics,public_date_ok,included_in_current_public_date_cohort,"The current provable public date does not postdate the matched observed event, so the row remains in the current public-date-clean cohort.",1992-04-24,2018-08-12,manual_source_link:Future Of Mankind Contact Report 242 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2018-08-12,0.969328687895,"With smaller quakes, however, things will be different, because already on the 8th of May another one of these will occur, which will have to be calculated at a magnitude of about 5.5, if, according to the Richter scale …."
earthquake,246,23,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",1993-06-19,2008-01-01,wiki_first_revision:Future Of Mankind Contact Report 246 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2008-01-01,0.000671366205,"Storm surges will also be devastating, usually triggered by earthquakes or seaquakes, as will be the case in Japan when an earthquake measuring approximately 7.6 to 7.9 on the Richter scale will shake the land and sea near Hokkaido on the 12th of July, killing some 300 human lives."
earthquake,367,5,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2004-09-09,2020-02-11,manual_source_link:Future Of Mankind Contact Report 367 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-11,1.0,"As soon as the quake is over, the next one will follow in the Nagaoka area with a magnitude of 6.0, followed by another one in November, which will be followed by others."
earthquake,369,33,miss,included_in_statistics,public_date_ok,included_in_current_public_date_cohort,"The current provable public date does not postdate the matched observed event, so the row remains in the current public-date-clean cohort.",2004-11-12,2020-02-12,manual_source_link:Future Of Mankind Contact Report 369 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-12,0.993255270861,"Unfortunately, the brute force of the two seaquakes will lead to further quakes, because every seaquake and landquake always causes further quakes worldwide as a chain reaction, especially when such large quakes occur as will be the case in the Indian Ocean on the 26th of December."
earthquake,383,2,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-03-17,2020-02-27,manual_source_link:Future Of Mankind Contact Report 383 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-27,0.084834266627,Japan will be hit by a 7.0 magnitude earthquake on the 20th of March.
earthquake,383,3,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-03-17,2020-02-27,manual_source_link:Future Of Mankind Contact Report 383 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-27,0.021969267955,"the Indian Ocean, off Sumatra, near the island of Nias, a new seaquake will occur on the 28th of March, with a magnitude of 8.7."
earthquake,383,26,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-03-17,2020-02-27,manual_source_link:Future Of Mankind Contact Report 383 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-27,0.021969267955,On the 10th of April there is a new seaquake off Sumatra with a magnitude of 6.8.
earthquake,383,28,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-03-17,2020-02-27,manual_source_link:Future Of Mankind Contact Report 383 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-27,0.084259852043,Another seaquake of magnitude 6.4 follows on the 14th of April.
earthquake,383,30,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-03-17,2020-02-27,manual_source_link:Future Of Mankind Contact Report 383 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-27,0.035053410059,There will also be a new earthquake in Japan on the 11th of April.
earthquake,383,31,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-03-17,2020-02-27,manual_source_link:Future Of Mankind Contact Report 383 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-02-27,0.139213841796,a seaquake of magnitude 6.6 on the 12th of April in the Loyalty Islands.
earthquake,392,1,near_hit,included_in_statistics,no_public_date_evidence,pending_more_public_evidence,The row does not yet have enough public-date evidence to enter or fail the current strict cohort.,2005-06-25,,claimed_contact_date_only,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2010-12-27,0.042395192109,"– On 26th December 2004, the great seaquake and tsunami catastrophe occurred in Indonesia, whereby, as you have clarified, 359,796 humans ultimately lost their lives."
earthquake,394,5,near_hit,included_in_statistics,no_public_date_evidence,pending_more_public_evidence,The row does not yet have enough public-date evidence to enter or fail the current strict cohort.,2004-07-09,,claimed_contact_date_only,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2020-03-16,0.035053410059,"On the 23rd of July, an earthquake measuring 6.1 on the Richter scale shook Japan's capital, Tokyo."
earthquake,400,7,exact_hit,included_in_statistics,no_public_date_evidence,pending_more_public_evidence,The row does not yet have enough public-date evidence to enter or fail the current strict cohort.,2005-09-25,,claimed_contact_date_only,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2009-08-28,0.000258271132,But Pakistan will also be affected by a severe earthquake measuring 7.6 on October 8.
earthquake,400,8,similar_only,included_in_statistics,no_public_date_evidence,pending_more_public_evidence,The row does not yet have enough public-date evidence to enter or fail the current strict cohort.,2005-09-25,,claimed_contact_date_only,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2009-08-28,0.007123521437,"From this quake in the north of Pakistan, near the Pakistani Muzaffarabad, which is followed shortly after the first by another one with a magnitude of 6.6, but which is then followed by dozens of unusually extremely strong aftershocks, and again a stronger one with a magnitude of 5.6 on 13th October."
earthquake,400,20,similar_only,included_in_statistics,no_public_date_evidence,pending_more_public_evidence,The row does not yet have enough public-date evidence to enter or fail the current strict cohort.,2005-09-25,,claimed_contact_date_only,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2009-08-28,0.027015619391,"According to our precise investigations, the coming major earthquake in northern Pakistan, in which more than 50,000 humans lost their lives, is a direct consequence of the seaquake off Sumatra on 26th December 2004."
earthquake,401,2,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-10-15,2020-03-26,manual_source_link:Future Of Mankind Contact Report 401 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-03-26,0.00278580092,"another quake of magnitude 6 will follow these quakes in the night from the 20th to the 21st of October, which in turn will cause several aftershocks."
earthquake,401,4,exact_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-10-15,2020-03-26,manual_source_link:Future Of Mankind Contact Report 401 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-03-26,0.02514722818,a seaquake of magnitude 6.5 off the coast of Ibaraki in Japan on the 19th of October.
earthquake,401,11,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-10-15,2020-03-26,manual_source_link:Future Of Mankind Contact Report 401 English translation page,mirror_translation_page,mirror,official_figu_original,primary_official,2022-10-21,2020-03-26,0.006451034884,"Two further seaquakes will also occur in the Ionian Sea, on the 19th of October near the island of Zákynthos, with a magnitude of 6 on the Richter scale, and another one in the northwest off Greece, also in the Ionian Sea, this second seaquake having a magnitude of 4.9."
earthquake,402,2,near_hit,included_in_statistics,event_precedes_publication,excluded_currently_unrescued,"The current provable public date still postdates the matched observed event, so the row remains excluded unless stronger earlier evidence is found.",2005-10-29,2009-08-28,wiki_first_revision:Future Of Mankind Contact Report 402 first page revision,mirror_revision_timestamp,mirror,official_figu_original,primary_official,2022-10-21,2009-08-28,0.013277141971,"and on the 15th of November a more severe seaquake will occur in the sea in northern Japan, with a magnitude of 7.3."
